Cusip,State,Description,Coupon,Maturity Date,Moody Rating,S&P Rating,Price Bid,Price Ask,Yield Bid,Ask Yield to Worst,Ask Yield to Maturity,Quantity Bid(min),Quantity Ask(min),Attributes
="912796W47","N/A","UNITED STATES TREAS BILLS ZERO CPN       0.00000% 05/18/2023","0.000","05/18/2023","--","--","99.973","99.974","4.815","4.746","4.746","5,000(100)","25,000(1,000)",CP D 
="912797FF9","N/A","UNITED STATES TREAS BILLS ZERO CPN       0.00000% 05/23/2023","0.000","05/23/2023","--","--","99.915","99.918","4.436","4.279","4.279","25,000(1,000)","25,000(1,000)",CP D 
="912796ZF9","N/A","UNITED STATES TREAS BILLS ZERO CPN       0.00000% 05/25/2023","0.000","05/25/2023","--","--","99.904","99.906","3.897","3.836","3.836","24,504(50)","5,000(100)",CP D 
="912797FG7","N/A","UNITED STATES TREAS BILLS ZERO CPN       0.00000% 05/30/2023","0.000","05/30/2023","--","--","99.866","99.874","3.495","3.289","3.289","5,000(100)","25,000(1,000)",CP D 
="91282CCD1","N/A","UNITED STATES TREAS SER BB-2023         0.12500% 05/31/2023 NTS NOTE","0.125","05/31/2023","AAA","--","99.783","99.832","5.396","4.206","4.206","35,000(500)","10,000(300)",CP D 
="912828R69","N/A","UNITED STATES TREAS SER L-2023          1.62500% 05/31/2023 NTS NOTE","1.625","05/31/2023","AAA","--","99.851","99.914","5.210","3.686","3.686","75,000(350)","10,000(300)",CP D 
="9128284S6","N/A","UNITED STATES TREAS SER Z-2023          2.75000% 05/31/2023 NTS NOTE","2.750","05/31/2023","AAA","--","99.908","99.955","4.922","3.807","3.807","35,000(250)","35,000(250)",CP D 
="912796ZG7","N/A","UNITED STATES TREAS BILLS ZERO CPN       0.00000% 06/01/2023","0.000","06/01/2023","--","--","99.765","99.769","5.374","5.286","5.286","5,000(100)","14,708(1)",CP D 
="912797FM4","N/A","UNITED STATES TREAS BILLS ZERO CPN       0.00000% 06/06/2023","0.000","06/06/2023","--","--","99.683","99.692","5.527","5.390","5.390","25,000(1,000)","5,000(100)",CP D 
="912796ZP7","N/A","UNITED STATES TREAS BILLS ZERO CPN       0.00000% 06/08/2023","0.000","06/08/2023","--","--","99.653","99.665","5.526","5.333","5.333","10,000(1)","49,950(1)",CP D 
="912797FN2","N/A","UNITED STATES TREAS BILLS ZERO CPN       0.00000% 06/13/2023","0.000","06/13/2023","--","--","99.572","99.575","5.603","5.564","5.564","40,000(1)","15,000(3,000)",CP D 
="912796X53","N/A","UNITED STATES TREAS BILLS ZERO CPN       0.00000% 06/15/2023","0.000","06/15/2023","--","--","99.570","99.578","5.254","5.156","5.156","100,000(300)","15,000(1,000)",CP D 
="912828ZU7","N/A","UNITED STATES TREAS SER AN-2023         0.25000% 06/15/2023 NTS NOTE","0.250","06/15/2023","AAA","NR","99.566","99.625","5.529","4.813","4.813","10,000(300)","10,000(300)",CP D 
="912797FP7","N/A","UNITED STATES TREAS BILLS ZERO CPN       0.00000% 06/20/2023","0.000","06/20/2023","--","--","99.500","99.507","5.240","5.175","5.175","15,000(3,000)","15,000(3,000)",CP D 
="912796ZQ5","N/A","UNITED STATES TREAS BILLS ZERO CPN       0.00000% 06/22/2023","0.000","06/22/2023","--","--","99.472","99.478","5.249","5.179","5.179","5,000(100)","15,000(3,000)",CP D 
="912797FQ5","N/A","UNITED STATES TREAS BILLS ZERO CPN       0.00000% 06/27/2023","0.000","06/27/2023","--","--","99.399","99.406","5.265","5.193","5.193","5,000(100)","15,000(1,000)",CP D 
="912796ZR3","N/A","UNITED STATES TREAS BILLS ZERO CPN       0.00000% 06/29/2023","0.000","06/29/2023","--","--","99.384","99.393","5.149","5.066","5.066","5,000(100)","15,000(3,000)",CP D 
="91282CCK5","N/A","UNITED STATES TREAS SER BC-2023         0.12500% 06/30/2023 NTS NOTE","0.125","06/30/2023","AAA","--","99.336","99.398","5.494","4.995","4.995","35,000(500)","10,000(300)",CP D 
="912828S35","N/A","UNITED STATES TREAS SER M-2023          1.37500% 06/30/2023 NTS NOTE","1.375","06/30/2023","AAA","--","99.501","99.566","5.384","4.862","4.862","35,000(200)","10,000(300)",CP D 
="9128284U1","N/A","UNITED STATES TREAS SER AA-2023         2.62500% 06/30/2023 NTS NOTE","2.625","06/30/2023","AAA","--","99.667","99.734","5.269","4.731","4.731","75,000(350)","10,000(300)",CP D 
="912797FR3","N/A","UNITED STATES TREAS BILLS ZERO CPN       0.00000% 07/05/2023","0.000","07/05/2023","--","--","99.347","99.354","4.798","4.746","4.746","25,000(1,000)","25,000(1,000)",CP D 
="912796ZS1","N/A","UNITED STATES TREAS BILLS ZERO CPN       0.00000% 07/06/2023","0.000","07/06/2023","--","--","99.320","99.328","4.900","4.841","4.841","100,000(300)","100,000(300)",CP D 
="912797FX0","N/A","UNITED STATES TREAS BILLS ZERO CPN       0.00000% 07/11/2023","0.000","07/11/2023","--","--","99.256","99.260","4.886","4.859","4.859","10,000(250)","15,000(1,000)",CP D 
="912796XQ7","N/A","UNITED STATES TREAS BILLS ZERO CPN       0.00000% 07/13/2023","0.000","07/13/2023","--","--","99.211","99.217","5.018","4.966","4.966","5,000(100)","25,000(1,000)",CP D 
="912828ZY9","N/A","UNITED STATES TREAS SER AP-2023         0.12500% 07/15/2023 NTS NOTE","0.125","07/15/2023","--","--","99.118","99.154","5.493","5.276","5.276","35,000(500)","35,000(500)",CP D 
